Categoria,Posicao,Cod_dekoreba,English,French,German,Italian,Portuguese,Spanish
conjuncoes,2,14,for,dès,ab,da allora,a partir de,a partir de
conjuncoes,3,14,from,à partir de,aus,perchè,de,después de
conjuncoes,1,15,in,en,in,in,em,en
conjuncoes,2,15,at,dans,auf,a,a,sobre
conjuncoes,3,15,on,à,bei,dentro,com,dentro de
conjuncoes,1,16,between,entre,zwischen,tra,entre,entre
conjuncoes,2,16,among,parmi,unter,fra,no meio de,en
conjuncoes,3,16,amidst,au milieu de,an,sotto,em,en casa de
conjuncoes,1,17,to,pour,zu,a,para,a
conjuncoes,2,17,for,à,für,per,a,hacia
conjuncoes,3,17,toward,vers,nach,verso,por,para
conjuncoes,1,18,before,avant,vor,prima di,perante,antes de
conjuncoes,2,18,in front of,devant,vorn,davanti a,antes de,delante de
conjuncoes,3,18,ahead of,vis-à-vis,zuvor,prima,diante de,delante
conjuncoes,1,19,by,pour,für,per,por,por
conjuncoes,2,19,for,par,durch,da,para,nulo
conjuncoes,3,19,per,au lieu de,wegen,presso,por causa de,por medio de
conjuncoes,1,20,without,sans,ohne,senza,sem,sin
conjuncoes,2,20,sans,silencieusement,los,in-,,pausadamente
conjuncoes,3,20,-less,hormis,leer,dis-,,
conjuncoes,1,21,under,sous,unter,sotto,sob,bajo
conjuncoes,2,21,below,en dessous,unterhalb,là sotto,debaixo de,debajo de
conjuncoes,3,21,underneath,dessous,darunter,abbasso,por baixo de,debajo
conjuncoes,1,22,on,sur,über,sopra,sobre,sobre
conjuncoes,2,22,upon,au-dessus de,auf,su,em,en
conjuncoes,3,22,over,à,an,a,em cima de,encima de
conjuncoes,1,23,after,en arrière,rückwärts,indietro,trás,atrás
conjuncoes,2,23,behind,,,dietro,atrás,hacia atrás
conjuncoes,3,23,aback,,,all'indietro,para,tras
conjuncoes,1,24,during,durant,während,durante,durante,durante
conjuncoes,2,24,for,pendant,unter,laddove,por,a lo largo de
conjuncoes,3,24,throughout,lors,als,,enquanto,
pronomes,1,25,you,vous,du,tu,você,tú
pronomes,2,25,thou,tu,Sie,Lei,tu,usted
pronomes,3,25,SG,toi,Du,voi,a senhora,vosotros
pronomes,1,26,he,il,er,egli,ele,él
pronomes,2,26,it,lui,es,lui,ela,ello
pronomes,3,26,she,elle,sie,esso,o,ella
pronomes,1,27,she,elle,sie,ella,ela,ella
pronomes,2,27,it,il,es,lei,ele,ello
pronomes,3,27,he,ce,er,essa,água,él
pronomes,1,28,we,nous,wir,noi,nós,nosotros
pronomes,2,28,us,on,uns,noialtri,a gente,nosotras
pronomes,3,28,,,,noi altri,nossa,nos
pronomes,1,29,you,vous,ihr,voi,vocês,ustedes
pronomes,2,29,y’all,tu,Sie,Loro,vós,vosotros
pronomes,3,29,ye,,Ihr,voi tutti,as senhoras,vosotras
pronomes,1,30,they,elles,sie,loro,eles,ellos
pronomes,2,30,them,ils,ihnen,essi,elas,ellas
pronomes,3,30,,eux,Sie,esse,lhes,
pronomes,1,31,they,elles,sie,loro,elas,ellas
pronomes,2,31,them,ils,Damentoilette,essi,eles,ellos
pronomes,3,31,lady,eux,Sie,esse,damas,baño de damas
pronomes,1,32,my,ma,mein,mio,meu,mi
pronomes,2,32,mine,mon,meine,i miei,minha,mío
pronomes,3,32,pally,mes,meiner,il mio,meus,mis
pronomes,1,33,my,mon,mein,mio,minha,mi
pronomes,2,33,mine,ma,meine,mia,meu,de mí
pronomes,3,33,,mien,meiner,,meus,mío
pronomes,1,34,my,mes,meine,mie,meus,mis
pronomes,2,34,mine,mien,mein,miei,minhas,de mí
pronomes,3,34,,à moi,meins,mio,meu,mío
pronomes,1,35,my,mes,meine,mie,meus,mis
pronomes,2,35,mine,mien,mein,miei,minhas,de mí
pronomes,3,35,,à moi,meins,mio,meu,mío
pronomes,1,36,your,son,sein,tuo,seu,su
pronomes,2,36,his,sa,ihr,vostro,teu,suyo
pronomes,3,36,thine,ses,dein,suo,dela,sus
pronomes,1,37,its,son,ihr,suo,sua,su
pronomes,2,37,her,sa,sein,tuo,seu,sus
pronomes,3,37,his,leur,dein,,dela,tú
pronomes,1,38,their,leur,ihr,i loro,seus,su
pronomes,2,38,her,leurs,ihre,il loro,seu,sus
pronomes,3,38,his,ses,Tophus,la loro,característico da gota,tofo
pronomes,1,39,her,leurs,Sie,,suas,tú
pronomes,2,39,his,ses,du,,seu,usted
pronomes,3,39,their,tu,ihr,,seus,ustedes
pronomes,1,40,our,notre,unser,nostro,nosso,nuestro
pronomes,2,40,ours,à nous,unsere,nostra,nossa,nuestra
pronomes,3,40,,nos,,i nostri,nossas,nuestras
pronomes,1,41,our,nos,unser,accidenti,nossa,Dios mío
pronomes,2,41,oh my God,mon Dieu,oh mein Gott,accipicchia,meu Deus,nuestra
pronomes,3,41,wow,ouah,wow,Dio mio,nossas,nuestras
pronomes,1,42,our,nos,unser,i nostri,nossos,nuestra
pronomes,2,42,ours,notre,unsere,il nostro,nossa,nuestras
pronomes,3,42,,,,la nostra,nossas,nuestro
pronomes,1,43,our,nos,unser,i nostri,nossa,nuestra
pronomes,2,43,,notre,,il nostro,nossas,nuestras
pronomes,3,43,,,,la nostra,nosso,nuestro
pronomes,1,44,that,ce,dieser,quella,esse,ese
pronomes,2,44,this,cette,diese,quello,aquela,aquel
pronomes,3,44,ess,cela,dieses,questo,aquele,ése
pronomes,1,45,that,cela,jener,quella,essa,aquel
pronomes,2,45,catafalque,ça,jenes,quello,aquela,ese
pronomes,3,45,,ce,diese,,aquele,aquella
pronomes,1,46,that,ce,das,essa,isso,eso
pronomes,2,46,it,cela,dies,esso,aquela,ello
pronomes,3,46,this,ça,jene,la,aquele,esa
pronomes,1,47,that,cela,jener,quello,aquele,aquel
pronomes,2,47,which,ce,jenes,quella,aquela,aquél
pronomes,3,47,that one,celui,jene,i quali,aquilo,aquella
pronomes,1,48,that,cela,jene,quella,aquela,aquel
pronomes,2,48,which,ce,jener,quello,aquele,aquella
pronomes,3,48,yon,cette,jenes,i quali,aquilo,ese
pronomes,1,49,that,cela,jenes,quella,aquilo,aquél
pronomes,2,49,yon,ce,jener,quello,aquela,aquel
pronomes,3,49,yonder,cet,jene,,aquele,aquélla
pronomes,1,50,someone,quelqu’un,jemand,qualcuno,alguém,alguien
pronomes,2,50,somebody,personne,irgendjemand,a,a,alguno
pronomes,3,50,a,quelqu'un,anbellen,abbaiare,ladrar,ladrar
pronomes,1,51,nobody,personne,niemand,nessuno,ninguém,nadie
pronomes,2,51,no one,nul,keiner,nessuna,zé-ninguém,don nadie
pronomes,3,51,none,aucun,keine,,joão-ninguém,pelagatos
pronomes,1,52,other,autre,andere,altro,outro,otro
pronomes,2,52,another,un autre,anderer,un altro,diferente,otra
pronomes,3,52,else,autrui,sonstig,un'altra,outra,diferente
pronomes,1,53,other,autre,andere,altro,outra,otra
pronomes,2,53,secondary infection,infection ajoutée,Superinfektion,superinfezione,outro,otro
pronomes,3,53,superinfection,surinfection,ander,altra,já existente,existente
pronomes,1,54,right,certain,sicher,certo,certo,seguro
pronomes,2,54,certain,sûr,gewiss,sicuro,correto,cierto
pronomes,3,54,sure,précis,richtig,esatto,seguro,correcto
pronomes,1,56,much,beaucoup,viel,molto,muita,mucho
pronomes,2,56,a lot,souvent,sehr viel,assai,muito,muchisimo
pronomes,3,56,a good deal,beaucoup de,vielmals,grandemente,um monte,cantidades
pronomes,1,58,any,quelconque,irgendein,qualsiasi,qualquer,cualquiera
pronomes,2,58,arbitrary,n’importe quel,jeder,chiunque,algum,algún
pronomes,3,58,some,le moindre,ein,alcuni,um,cualquier
pronomes,1,59,such,tel,derartig,tale,tal,tal
pronomes,2,59,thus,ainsi,solch,cosi,assim,así
pronomes,3,59,like this,tellement,solcher,quello,tanto,tan
pronomes,1,60,everything,tout,alles,tutto,tudo,todo
pronomes,2,60,all,tous,alle,ogni cosa,toda,cada uno
pronomes,3,60,every,toute,all,tutti,todo,todos
pronomes,1,61,nothing,rien,nichts,niente,nada,nada
pronomes,2,61,zero,zéro,Null,nulla,zero,cero
pronomes,3,61,naught,néant,Nichts,zero,quer que,nulo
pronomes,1,62,something,quelque chose,etwas,qualcosa,algo,algo
pronomes,2,62,somewhat,médiateur,irgendetwas,qualche còsa,alguma coisa,alguna cosa
pronomes,3,62,a little,quelque peu,irgendwas,qualcòsa,certas coisas,algunas cosas
pronomes,1,63,every,chaque,jeder,ogni,cada,cada
pronomes,2,63,each,tous,jedes,ciascuno,todo,cada uno
pronomes,3,63,all,tout,alle,ognuno,tudo,todo
pronomes,1,64,who,qui,wer,chi,quem,quién
pronomes,2,64,whom,que,der,che,que,quien
pronomes,3,64,that,qui est-ce qui,die,cui,o que,quiénes
pronomes,1,65,moreover,trop,zu,troppo,demais,demasiado
pronomes,2,65,too,d’ailleurs,zu viel,inoltre,muito,además
pronomes,3,65,too much,en outre,zudem,d’altronde,além disso,adicionalmente
preposicoes,1,66,and,et,und,e,e,y
preposicoes,2,66,both,périnéal,den Damm betreffend,ed,mais,e
preposicoes,3,66,what about,et puis,perineal,e ed,homem,i
preposicoes,1,67,neither,ni,weder,nemmeno,nem,ni
preposicoes,2,67,nor,même pas,nicht einmal,né,ni,ni siquiera
preposicoes,3,67,not even,NaN,noch,neanche,nem ao menos,no po
preposicoes,1,68,but,mais,aber,ma,mas,pero
preposicoes,2,68,only,cependant,sondern,però,porém,mas
preposicoes,3,68,but then,au contraire,doch,tuttavia,todavia,ojalá
preposicoes,1,69,but,mais,aber,tuttavia,porém,pero
preposicoes,2,69,all the same,pourtant,dennoch,ma,mas,sin embargo
preposicoes,3,69,even so,cependant,trotzdem,però,no entanto,no obstante
preposicoes,1,70,nevertheless,néanmoins,nichtsdestoweniger,nondimeno,contudo,sin embargo
preposicoes,2,70,however,pourtant,trotzdem,tuttavia,apesar de,no obstante
preposicoes,3,70,notwithstanding,toutefois,dennoch,ciononostante,não obstante,pero
preposicoes,1,71,yet,cependant,dennoch,tuttora,todavia,todavía
preposicoes,2,71,but,tout de même,gleichwohl,solamente,mas,aún
preposicoes,3,71,still,encore,jedoch,anche,porém,todavia
preposicoes,1,72,however,cependant,trotzdem,nonostante,no entanto,sin embargo
preposicoes,2,72,nevertheless,néanmoins,jedoch,tuttavia,não obstante,no obstante
preposicoes,3,72,though,toutefois,dennoch,però,porém,a pesar de eso
preposicoes,1,73,or,ou,oder,o,ou,o
preposicoes,2,73,either,ou bien,entweder,oppure,contratura,u
preposicoes,3,73,contracture,contraction prolongée,Kontraktur,od,mais,contractura
preposicoes,1,74,inasmuch as,attendu que,weil,dal momento che,porquanto,dado que
preposicoes,2,74,as,car,,dato che,dado que,porque
preposicoes,3,74,because,comme,,giacché,já que,pues que
preposicoes,1,75,because,parce que,weil,perché,porque,porque
preposicoes,2,75,for,car,da,poiché,já que,ya que
preposicoes,3,75,since,puisque,denn,visto che,visto que,puesto que
preposicoes,1,76,since,puisque,weil,giacché,pois,porque
preposicoes,2,76,because,car,denn,perché,porque,dado que
preposicoes,3,76,now,parce que,wegen,poiché,visto que,visto que
preposicoes,1,77,because,car,weil,perché,já que,ya que
preposicoes,2,77,since,parce que,da,siccome,porque,porque
preposicoes,3,77,as,puisque,denn,giacché,visto que,puesto que
preposicoes,1,78,since,car,weil,visto che,visto que,porque
preposicoes,2,78,as,puisque,da,siccome,porque,ya que
preposicoes,3,78,because,comme,denn,considerato che,pois,visto que
preposicoes,1,79,how,comment,wie,come,como,como
preposicoes,2,79,as,comme,als,Sei grande come me,porque,cómo
preposicoes,3,79,like,hein,da,quanto,quando,qué
preposicoes,1,80,although,bien que,obwohl,benché,embora,aunque
preposicoes,2,80,though,quoique,obschon,sebbene,conquanto,a pesar de
preposicoes,3,80,even though,tandis que,trotzdem,ma,malgrado,vamos
preposicoes,1,81,although,bien que,obschon,benché,ainda que,aunque
preposicoes,2,81,though,encore que,wenngleich,sebbene,posto que,aun cuando
preposicoes,3,81,albeit,quoique,obwohl,seppure,conquanto,a pesar de
preposicoes,1,82,if,bien que,obgleich,benché,mesmo que,aunque
preposicoes,2,82,albeit,quoique,obschon,,se bem que,no obstante
preposicoes,3,82,,,wenn auch,,,si bien
preposicoes,1,83,if,si,wenn,se,se,si
preposicoes,2,83,they,on,man,si,si,se
preposicoes,3,83,whether,se,ob,ritenzione,como,sí mismo
preposicoes,1,84,case,cas,Fall,caso,caso,caso
preposicoes,2,84,affair,cause,Affäre,istanza,causa,si
preposicoes,3,84,matter,aventure,Kasus,affare,questão,asunto
preposicoes,1,85,since,depuis que,seitdem,da quando,desde que,desde que
preposicoes,2,85,provided,dès,seit,,desde quando,siempre y cuando
preposicoes,3,85,as long as,dans la mesure où,weil,,a partir de quando,
preposicoes,1,86,inasmuch,pourvu que,solange,purché,contanto que,siempre y cuando
preposicoes,2,86,provided that,du moment que,,,desde que,con tal de que
preposicoes,3,86,as long as,pour peu que,,,se,con tal que
preposicoes,1,87,unless,à moins que,wenn nicht,a meno che,a menos que,a menos que
preposicoes,2,87,except,sauf si,es sei denn,tranne che,a não ser que,a no ser que
preposicoes,3,87,at least if,,,se non,,
preposicoes,1,88,when,quand,wann,quando,quando,cuando
preposicoes,2,88,while,lorsque,als,laddove,como,cuándo
preposicoes,3,88,as,dès que,wenn,appena che,porque,momento
preposicoes,1,89,whenever,chaque fois que,sooft,ogni volta che,sempre que,siempre que
preposicoes,2,89,wherever,n’importe quand,wann immer,ogni volta,toda vez que,cada vez
preposicoes,3,89,every time,à condition que,falls,,,siempre y cuando
preposicoes,1,90,as,pendant que,während,mentre,enquanto,mientras
preposicoes,2,90,while,lorsque,solange,come,ao longo de,mientras que
preposicoes,3,90,as long as,tandis que,wogegen,quale,daquela maneira,siempre y cuando
preposicoes,1,91,as,au moment où,sobald,quando,assim que,cuando
preposicoes,2,91,when,quand,als,,quando,en cuanto
preposicoes,3,91,as soon as,dès que,wenn,,logo,tan pronto como
preposicoes,1,92,as soon as,,sobald,,logo que,
preposicoes,1,93,before,avant de,bevor,avanti che,antes que,antes de
preposicoes,2,93,prior,avant que,ehe,prima che,antes de,antes de que
preposicoes,3,93,,,,prima di,,antes que
preposicoes,1,94,ever since,,nachdem,,depois que,
preposicoes,2,94,after,,,,depois de,
preposicoes,3,94,,,,,em seguida,
preposicoes,1,95,until,jusqu’au moment où,bis,,até que,hasta
preposicoes,2,95,till,jusqu’à ce que,,,até,
preposicoes,3,95,,avant,,,,
preposicoes,1,96,where,où,wo,dove,onde,donde
preposicoes,2,96,wherein,d'où,woher,ove,aonde,dónde
preposicoes,3,96,amnion,là où,wohin,amnios,de onde,adónde
preposicoes,1,97,where,où,wohin,dove,aonde,adónde
preposicoes,2,97,whither,vers où,wo,laddove,onde,adonde
preposicoes,3,97,which way,d'où,woher,per dove,de onde,dónde
preposicoes,1,98,conformable,conforme,übereinstimmend,conforme,conforme,conforme
preposicoes,2,98,consonant,conformément,als,affine,concorde,similar
preposicoes,3,98,accordant,concordant,einträchtig,analogo,como,de la misma especie
preposicoes,1,99,second,seconde,Sekunde,secondo,segundo,segundo
preposicoes,2,99,according to,deuxième,zweite,istante,instante,según
preposicoes,3,99,moment,second,zweiter,momento,momento,instante
preposicoes,1,100,,moyennant,,,mediante,mediante
preposicoes,1,101,despite,malgré,trotz,malgrado,apesar de,a pesar de
preposicoes,2,101,in spite of,en dépit de,ungeachtet,nonostante,não obstante,sin embargo
preposicoes,3,101,notwithstanding,bien que,obwohl,nondimeno,a despeito de,no obstante
preposicoes,1,102,despite,néanmoins,nichtsdestoweniger,nonostante,não obstante,no obstante
preposicoes,2,102,notwithstanding,malgré,trotz,malgrado,apesar de,a pesar de
preposicoes,3,102,nevertheless,cependant,trotzdem,comunque,no entanto,sin embargo
preposicoes,1,104,at,pour que,damit,a,para que,a
preposicoes,2,104,for,à,sodass,perché,a,a fin de
preposicoes,3,104,in order to,pour,an,dentro,a fim de,hacia
preposicoes,1,105,therefore,donc,deshalb,quindi,portanto,por tanto
preposicoes,2,105,hence,par conséquent,daher,dunque,logo,por eso
preposicoes,3,105,so,c’est pourquoi,deswegen,perciò,por este motivo,por lo tanto
preposicoes,1,106,then,alors,damals,allora,então,entonces
preposicoes,2,106,so,donc,dann,bene,depois,pues
preposicoes,3,106,at that time,bon,also,poi,naquela época,así que
preposicoes,1,107,thus,ainsi,so,così,assim,así
preposicoes,2,107,so,comme,also,cosÌ,deste modo,tan
preposicoes,3,107,such,tellement,dadurch,così così,daquela maneira,de este modo
preposicoes,1,108,thereby,ainsi,so,così,deste modo,así
preposicoes,2,108,so,comme,also,cosÌ,assim,de este modo
preposicoes,3,108,such,tellement,dadurch,,daquela maneira,tan
preposicoes,1,109,avocado,avocat,Avocado,avocado,abacate,aguacate
preposicoes,2,109,alligator pear,avocatier,Butterfrucht,pera alligatore,abacateiro,palta
preposicoes,3,109,avocado pear,persea americana,Alligatorbirne,pera avocado,pêra abacate,cura
adverbios,1,110,above,au-dessus,über,sopra,acima,arriba
adverbios,2,110,up,en haut,oben,superiore,para cima,sobre
adverbios,3,110,over,par-dessus,empor,sù,cima,hacia arriba
adverbios,1,111,down,en bas,herunter,sotto,abaixo,abajo
adverbios,2,111,below,dessous,herab,giù,debaixo,bajo
adverbios,3,111,underneath,sous,hinab,abbasso,para baixo,hacia abajo
adverbios,1,112,ahead,en avant,vorwärts,avanti,adiante,adelante
adverbios,2,112,forward,avant,voran,davanti,frente,delante
adverbios,3,112,up,devant,weiter,anteriormente,ante,a lo largo de
adverbios,1,113,before,auparavant,vorher,prima,antes,antes
adverbios,2,113,previously,avant,zuvor,davanti,anteriormente,anteriormente
adverbios,3,113,earlier,antérieurement,früher,precedentemente,em lugar anterior,delante
adverbios,1,114,now,maintenant,jetzt,adesso,agora,ahora
adverbios,2,114,at present,présentement,nun,ora,atualmente,actualmente
adverbios,3,114,nowadays,rasibus,gegenwärtig,oggidì,já,ya
adverbios,1,115,there,là,dort,là,ali,allí
adverbios,2,115,over there,là-bas,da,laggiú,aí,ahí
adverbios,3,115,yonder,y,drüben,li,acolá,allá
adverbios,1,116,tomorrow,demain,morgen,domani,amanhã,mañana
adverbios,2,116,morrow,lendemain,Morgen,indomani,manhã,
adverbios,3,116,day after,après-demain,Folgetag,futuro,futuro,
adverbios,1,117,after,après,nach,dopo,após,después de
adverbios,2,117,behind,derrière,hinter,dietro,atrás de,detrás de
adverbios,3,117,past,ensuite,danach,in seguito,depois de,tras
adverbios,1,118,here,ici,hier,qui,aqui,aquí
adverbios,2,118,hither,par ici,hierher,qua,cá,acá
adverbios,3,118,over here,là,da,quite,qui,en ésta
adverbios,1,119,yonder,au-delà,dort,laggiú,além,ahí
adverbios,2,119,over there,là,drüben,li,acolá,allí
adverbios,3,119,there,là-bas,da drüben,là,ali,más allá
adverbios,1,120,through,à travers,durch,attraverso,através,a través
adverbios,2,120,across,,quer,,por,atravesado
adverbios,3,120,by,,über,,via,através
adverbios,1,121,late,en retard,rückständig,in ritardo,atrasado,atrasado
adverbios,2,121,overdue,arriéré,verspätet,arretrato,retrógrado,rezagado
adverbios,3,121,slow,sous-développé,unterentwickelt,non sfruttato,,no explotado
adverbios,1,122,forward,en avant,vorwärts,avanti,avante,adelante
adverbios,2,122,ahead,aller en avant,Stürmer,,adiante,avante
adverbios,3,122,onwards,avancer,vorn,,para frente,
adverbios,1,123,accidentally,accidentellement,versehentlich,casualmente,acidentalmente,accidentalmente
adverbios,2,123,unexpectedly,par accident,zufällig,accidentalmente,Casualmente,incidentalmente
adverbios,3,123,casually,involontairement,zufälligerweise,inavvertitamente,por acaso,casualmente
adverbios,1,124,well,bien,gut,bene,bem,bien
adverbios,2,124,good,bon,ganz,proprietà,propriedade,provecho
adverbios,3,124,all right,avantage,gesund,merce,bastante,posesión
adverbios,1,125,short,court,kurz,breve,breve,breve
adverbios,2,125,brief,bref,kommend,corto,curto,corto
adverbios,3,125,speedy,brève,nächst,seguente,iminente,entrante
adverbios,1,126,enough,assez,genug,abbastanza,bastante,bastante
adverbios,2,126,rather,suffisamment,genügend,sufficiente,assaz,suficiente
adverbios,3,126,pretty,suffisant,ziemlich,piuttosto,suficiente,abundante
adverbios,1,127,equable,,,,bem-humorado,
adverbios,2,127,upbeat,,,,,
adverbios,3,127,in high spirits,,,,,
adverbios,1,129,early,tôt,früh,presto,cedo,temprano
adverbios,2,129,soon,bientôt,bald,di buon’ora,temporão,pronto
adverbios,3,129,shortly,de bonne heure,demnächst,fra poco,logo,luego
adverbios,1,130,fence,clôture,Zaun,recinto,cerca,cerca
adverbios,2,130,some,à peu près,Einzäunung,circa,aproximadamente,aproximadamente
adverbios,3,130,fencing,environ,etwa,verso,cercado,cerramiento
adverbios,1,131,altogether,complètement,ganz,completamente,completamente,completamente
adverbios,2,131,completely,entièrement,völlig,interamente,totalmente,enteramente
adverbios,3,131,fully,tout à fait,vollständig,del tutto,absolutamente,totalmente
adverbios,1,132,constantly,constamment,immer,costantemente,constantemente,incesantemente
adverbios,2,132,steadily,incessamment,stetig,incessantemente,continuamente,siempre
adverbios,3,132,always,sans cesse,unaufhörlich,sempre,incessantemente,continuamente
adverbios,1,133,correctly,correctement,richtig,correttamente,corretamente,justamente
adverbios,2,133,precisely,juste,genau,propriamente,adequadamente,correctamente
adverbios,3,133,aright,bien,wahrhaft,corretto,justamente,verdaderamente
adverbios,1,134,cautiously,soigneusement,vorsichtig,accuratamente,cautelosamente,a conciencia
adverbios,2,134,carefully,prudemment,,attentamente,cuidadosamente,cuidadosamente
adverbios,3,134,gingerly,précautionneusement,,meticolosamente,com cautela,minuciosamente
adverbios,1,135,,,,,coincidentemente,coincidentemente
adverbios,1,136,therefore,par conséquent,logischerweise,di conseguenza,consequentemente,consecuentemente
adverbios,2,136,consequently,en conséquence,darum,così,portanto,por eso
adverbios,3,136,accordingly,donc,deshalb,indi,assim sendo,por consiguiente
adverbios,1,137,bravely,courageusement,heldenhaft,ardimentosamente,corajosamente,abaldonadamente
adverbios,2,137,courageously,audacieusement,kühn,arditamente,,con valentía
adverbios,3,137,gamely,gaillardement,mutig,coraggiosamente,,
adverbios,1,138,chronically,chroniquement,chronisch,cronicamente,cronicamente,crónicamente
adverbios,2,138,inveterate,immuablement,,,,
adverbios,3,138,,perpétuellement,,,,
adverbios,1,139,curiously,curieusement,neugierig,curiosamente,curiosamente,curiosamente
adverbios,2,139,inquisitively,bizarrement,merkwürdigerweise,singolarmente,interessantemente,con curiosidad
adverbios,3,139,oddly,intéressant,seltsamerweise,stranamente,estranhamente,inquisitivamente
adverbios,1,140,afterwards,après,danach,dopo,depois,después
adverbios,2,140,after,puis,nachher,poi,em seguida,luego
adverbios,3,140,then,ensuite,hinterher,quindi,mais tarde,más tarde
adverbios,1,141,inside,dedans,innerhalb,dentro,dentro,dentro
adverbios,2,141,in,dans,drinnen,frà,adentro,adentro
adverbios,3,141,within,en dedans,in,in,em,dentro de
adverbios,1,142,slowly,lentement,langsam,lento,devagar,lentamente
adverbios,2,142,slow,lent,allmählich,lentamente,lento,despacio
adverbios,3,142,tardily,doucement,mählich,pian piano,vagarosamente,lento
adverbios,1,143,directly,directement,direkt,direttamente,diretamente,directamente
adverbios,2,143,squarely,de façon transparente,gerade,facilmente,com convicção,seguido
adverbios,3,143,aimed,,unmittelbar,schiettamente,com firmeza,perfectamente
adverbios,1,144,unobtrusively,discrètement,,,discretamente,discretamente
adverbios,2,144,,,,,,sigilosamente
adverbios,1,145,absently,,,,distraidamente,distraídamente
adverbios,1,146,hardly,difficilement,schwer,difficilmente,dificilmente,apenas
adverbios,2,146,with difficulty,guère,kaum,appena,logoque,escasamente
adverbios,3,146,scarcely,à peine,schwerlich,malapena,quase não,difícilmente
adverbios,1,147,,,,,dolosamente,dolosamente
adverbios,1,148,twice,,,,duplamente,doblemente
adverbios,2,148,doubly,,,,,
adverbios,1,149,effectively,efficacement,effektiv,efficacemente,eficientemente,eficientemente
adverbios,2,149,efficaciously,activement,wirksam,fattivamente,efetivamente,con eficacia
adverbios,3,149,availably,effectivement,wirkungsvoll,validamente,eficazmente,eficazmente
adverbios,1,150,down,dessous,unten,giù,embaixo,abajo
adverbios,2,150,downstairs,en dessous,darunter,sotto,para baixo,bajo
adverbios,3,150,below,en bas,unterhalb,,abaixo,debajo
adverbios,1,151,up,en haut,über,di sopra,em cima,encima
adverbios,2,151,above,dessus,oben,sopra,para cima,arriba
adverbios,3,151,on top,au-dessus,herauf,addirittura,sôbre,por encima
adverbios,1,152,finally,finalement,schließlich,alla fine,enfim,finalmente
adverbios,2,152,eventually,enfin,letztendlich,finalmente,finalmente,al final
adverbios,3,152,at last,à la fin,endlich,infine,por fim,eventualmente
adverbios,1,154,wrong,erronément,fehlerhaft,erroneamente,erradamente,erradamente
adverbios,2,154,mistakenly,par erreur,irrtümlicherweise,erratamente,erroneamente,equivocadamente
adverbios,3,154,incorrectly,abusivement,fälschlich,impropriamente,incorretamente,erróneamente
adverbios,1,155,scarcely,,,,escassamente,escasamente
adverbios,1,156,specifically,spécifiquement,ausdrücklich,specificamente,especificamente,específicamente
adverbios,2,156,uniquely,particulièrement,eigens,concretamente,concretamente,concretamente
adverbios,3,156,namely,concrètement,extra,in particolare,,en concreto
adverbios,1,157,strangely,étrangement,komischerweise,stranamente,estranhamente,extrañamente
adverbios,2,157,oddly,bizarrement,merkwürdigerweise,singolarmente,curiosamente,
adverbios,3,157,queerly,drôle,seltsamerweise,balordamente,,
adverbios,1,158,forever,toujours,allzeit,sempre,eternamente,siempre
adverbios,2,158,always,éternellement,fortwährend,eternamente,sempre,eternamente
adverbios,3,158,eternally,à jamais,immer,incessantemente,em todo o tempo,perpetuamente
adverbios,1,159,eventually,éventuellement,NOT eventuell,alla fine,eventualmente,eventualmente
